BUNDLE;GZIP;SIZE
apps/frontend-js/frontend-js-clay-web/__liferay__/exports/@clayui$modal.(KMEKQ75Y).js;4614;11912
apps/frontend-js/frontend-js-clay-web/__liferay__/exports/@clayui$multi-select.(NW7KHP5A).js;4367;11029
apps/frontend-js/frontend-js-clay-web/__liferay__/exports/@clayui$multi-step-nav.(3JTRY2ZU).js;2047;5176
apps/frontend-js/frontend-js-clay-web/__liferay__/exports/@clayui$nav.(CPW2I35S).js;1625;3194
apps/frontend-js/frontend-js-clay-web/__liferay__/exports/@clayui$navigation-bar.(OIEXO2ZY).js;2596;6220
apps/frontend-js/frontend-js-clay-web/__liferay__/exports/@clayui$pagination-bar.(R2KF7ZFQ).js;2244;5613
apps/frontend-js/frontend-js-clay-web/__liferay__/exports/@clayui$pagination.(HECX5DGR).js;2430;5981
apps/frontend-js/frontend-js-clay-web/__liferay__/exports/@clayui$panel.(WGGERLJ3).js;1811;4911
apps/frontend-js/frontend-js-clay-web/__liferay__/exports/@clayui$popover.(NNEUXFHR).js;2018;4296
apps/frontend-js/frontend-js-clay-web/__liferay__/exports/@clayui$progress-bar.(CVITX335).js;1978;4214
apps/frontend-js/frontend-js-clay-web/__liferay__/exports/@clayui$provider.(7G2OOTJ2).js;1254;2756
apps/frontend-js/frontend-js-clay-web/__liferay__/exports/@clayui$shared.(EPNPM2YJ).js;10036;26597
apps/frontend-js/frontend-js-clay-web/__liferay__/exports/@clayui$slider.(FYV4JW5T).js;1439;3162
apps/frontend-js/frontend-js-clay-web/__liferay__/exports/@clayui$sticker.(QY2C6TWY).js;790;1649
apps/frontend-js/frontend-js-clay-web/__liferay__/exports/@clayui$table.(73ZMZTZH).js;1236;2871
apps/frontend-js/frontend-js-clay-web/__liferay__/exports/@clayui$tabs.(2LLQEWB6).js;2102;4758
apps/frontend-js/frontend-js-clay-web/__liferay__/exports/@clayui$time-picker.(72QVL2FR).js;2773;7289
apps/frontend-js/frontend-js-clay-web/__liferay__/exports/@clayui$toolbar.(QGQB5T6O).js;1242;3601
apps/frontend-js/frontend-js-clay-web/__liferay__/exports/@clayui$tooltip.(ZHXXTLFX).js;3912;9383
apps/frontend-js/frontend-js-clay-web/__liferay__/exports/@clayui$upper-toolbar.(WZLKAQ7G).js;989;2511
apps/frontend-js/frontend-js-clay-web/__liferay__/index.(RVV6NY23).js;65;45
apps/frontend-js/frontend-js-codemirror-web/__liferay__/css/codemirror$addon$fold$foldgutter.(O6XZRJWP).css;257;452
apps/frontend-js/frontend-js-codemirror-web/__liferay__/css/codemirror$addon$hint$show-hint.(TTU7KUJV).css;359;573
apps/frontend-js/frontend-js-codemirror-web/__liferay__/css/codemirror$lib$codemirror.(3CJTBG3Q).css;1632;6041
apps/frontend-js/frontend-js-codemirror-web/__liferay__/index.(GDAI24I2).js;94753;286278
apps/frontend-js/frontend-js-components-web/__liferay__/index.(7ITKQ4ZB).js;17874;61958
apps/frontend-js/frontend-js-dependencies-web/__liferay__/css/cropperjs$dist$cropper.(JOLASEJY).css;1282;3797
apps/frontend-js/frontend-js-dependencies-web/__liferay__/css/graphiql$graphiql.(IOMUDPDT).css;6452;27403
apps/frontend-js/frontend-js-dependencies-web/__liferay__/css/highlight.js$styles$monokai-sublime.(WNHBMVV3).css;433;859
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/@liferay$js-api.(BKJYAGPO).js;75;55
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/@liferay$js-api$data-set.(3U2EHE3D).js;419;675
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/axe-core.(F3XG4CB3).js;111624;424748
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/clipboard.(SSO2YS3N).js;3844;11543
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/cropperjs.(UZ4FFM6B).js;12636;38747
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/dagre.(BI3UVC7K).js;54778;152212
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/dom-align.(OG4WURYH).js;5162;13408
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/fuzzy.(QLYBAS5U).js;875;1700
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/graphiql.(7POTSIE3).js;185380;620389
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/graphql-hooks-memcache.(VH4BWO7O).js;1653;3951
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/graphql-hooks.(5HTLOHW5).js;3703;9749
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/graphql.(VZ7JDBTE).js;44447;179139
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/highlight.js.(BCFSCAA5).js;281924;973582
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/highlight.js$lib$core.(I7J7DBV2).js;8643;22716
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/highlight.js$lib$languages$java.(46V7JRNX).js;1368;3174
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/highlight.js$lib$languages$javascript.(5EG46VC3).js;2523;5881
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/highlight.js$lib$languages$plaintext.(E3NM5RKM).js;476;767
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/liferay-ckeditor.(SBUYXRL2).js;194331;640448
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/moment.(BOQIYU55).js;20584;63784
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/moment$min$moment-with-locales.(MVA2TYW5).js;80223;368918
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/numeral.(LMLVCPRA).js;4605;13018
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/object-hash.(QUJG73EM).js;11618;35807
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/qrcode.(DLHU7OFI).js;18205;54532
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/qs.(UHUMIRVN).js;4253;11430
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/react-dropzone.(OR3ZM56F).js;6628;18135
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/react-flow-renderer.(LFVRJPZA).js;51822;171382
apps/frontend-js/frontend-js-dependencies-web/__liferay__/exports/react-helmet.(NTZ2MSGK).js;7048;19259
