BUNDLE;IMPORT;SYMBOLS
"modules/apps/frontend-theme/frontend-theme-dialect-style-guide-sample-web";"frontend-theme-dialect-style-guide-sample-web";"App"
"modules/apps/invitation/invitation-invite-members-web";"invitation-invite-members-web";"InviteMembers"
"modules/apps/item-selector/item-selector-taglib";"item-selector-taglib";"ImageSelector,ItemSelectorRepositoryEntryBrowser,ItemSelectorRepositoryEntryBrowserConfigureAIModal,ItemSelectorRepositoryEntryBrowserManagementToolbarPropsTransformer"
"modules/apps/item-selector/item-selector-upload-web";"item-selector-upload-web";"ItemSelectorRepositoryEntryBrowser"
"modules/apps/item-selector/item-selector-url-web";"item-selector-url-web";"ItemSelectorUrl"
"modules/apps/item-selector/item-selector-web";"item-selector-web";"ViewItemSelectorViewDescriptor,ViewItemSelectorViewDescriptorMultiple"
"modules/apps/journal/journal-content-web";"journal-content-web";"JournalTemplate,PortletHeaderDefaultPropsTransformer,printPageButtonPropsTransformer"
"modules/apps/journal/journal-taglib";"journal-taglib";"JournalArticlePagination"
"modules/apps/journal/journal-web";"journal-web";"ArticleHistoryManagementToolbarPropsTransformer,AssetDisplayPagePreview,BasicInfoPanel,ChangeDefaultLanguage,CloseConfigurationPanelPropsTransformer,DDMStructrureElementsDefaultPropsTransformer,DDMStructuresManagementToolbarPropsTransformer,DDMTemplateElementsDefaultPropsTransformer,DDMTemplatesManagementToolbarPropsTransformer,DataEngineLayoutBuilderHandler,DataEngineLayoutRendererLanguageProxy,EditFeed,ElementsDefaultPropsTransformer,EmptyStatePlaceholder,FeedElementsDefaultPropsTransformer,FeedsManagementToolbarPropsTransformer,HighlightedDDMStructuresConfiguration,ImageInput,ImportAndOverrideDataDefinitionModal,ImportDataDefinitionModal,ImportScript,JournalPortlet,LocaleChangedHandler,LockErrorIndicator,ManagementToolbarPropsTransformer,Navigation,SaveButtons,SearchOptions,SelectAssetCategoryButtonPropsTransformer,SelectAssetDisplayPage,SelectDDMStructureButton,SelectDDMStructureButtonPropsTransformer,SelectFolder,SmallImage,SuccessMessageWithLink,Template,TranslationFilter,TranslationManager,TranslationOptions,UndoRedo,showWarningAlert"
"modules/apps/journal/journal-web";"template-web";"TemplateEditor"
"modules/apps/knowledge-base/knowledge-base-web";"knowledge-base-web";"EditKBArticle,KBDropdownPropsTransformer,LockedKBArticleModal,ManagementToolbarPropsTransformer,MoveKBObject,MoveModal,PortletConfiguration,SaveConfigurationButtonPropsTransformer,ScheduleKBArticle,ScheduleModal,SuggestionsManagementToolbarPropsTransformer,TemplatesManagementToolbarPropsTransformer,VerticalBar,openToast"
"modules/apps/layout/layout-admin-web";"layout-admin-web";"AddLayout,Advanced,CustomizationButtonPropsTransformer,CustomizationSettingsActionDropdownPropsTransformer,EditLayout,Favicon,GlobalCSSCETsConfiguration,GlobalJSCETsConfiguration,IncompleteLayoutEventListener,InformationMessages,Layout,LayoutActionDropdownPropsTransformer,LayoutCustomizationSettings,LayoutPageTemplateEntryCard,LayoutUtilityPageEntriesManagementToolbarPropsTransformer,LayoutUtilityPageEntryDropdownPropsTransformer,LayoutsManagementToolbarPropsTransformer,LookAndFeelThemeDetails,LookAndFeelThemeEdit,MasterLayoutConfiguration,OrphanPortletsManagementToolbarPropsTransformer,SelectLayoutUtilityPageEntryMasterLayoutVerticalCardPropsTransformer,StyleBookConfiguration,ThemeCSSReplacementSelector,ThemeSpritemapCETsConfiguration"
"modules/apps/layout/layout-content-page-editor-web";"layout-content-page-editor-web";"App,CollectionConfiguration"
"modules/apps/layout/layout-dynamic-data-mapping-form-field-type";"layout-dynamic-data-mapping-form-field-type";"App"
