BUNDLE;GZIP;SIZE
apps/frontend-taglib/frontend-taglib-clay/__liferay__/exports/@clayui$pagination-bar.js;3794;13048
apps/frontend-taglib/frontend-taglib-clay/__liferay__/exports/@clayui$pagination.js;3625;11932
apps/frontend-taglib/frontend-taglib-clay/__liferay__/exports/@clayui$panel.js;3127;11766
apps/frontend-taglib/frontend-taglib-clay/__liferay__/exports/@clayui$popover.js;3175;7765
apps/frontend-taglib/frontend-taglib-clay/__liferay__/exports/@clayui$progress-bar.js;1640;3898
apps/frontend-taglib/frontend-taglib-clay/__liferay__/exports/@clayui$provider.js;3005;8357
apps/frontend-taglib/frontend-taglib-clay/__liferay__/exports/@clayui$shared.js;13337;47067
apps/frontend-taglib/frontend-taglib-clay/__liferay__/exports/@clayui$slider.js;2160;5033
apps/frontend-taglib/frontend-taglib-clay/__liferay__/exports/@clayui$sticker.js;1295;3082
apps/frontend-taglib/frontend-taglib-clay/__liferay__/exports/@clayui$table.js;2248;8615
apps/frontend-taglib/frontend-taglib-clay/__liferay__/exports/@clayui$tabs.js;3984;14289
apps/frontend-taglib/frontend-taglib-clay/__liferay__/exports/@clayui$time-picker.js;3732;10435
apps/frontend-taglib/frontend-taglib-clay/__liferay__/exports/@clayui$toolbar.js;2442;11493
apps/frontend-taglib/frontend-taglib-clay/__liferay__/exports/@clayui$tooltip.js;5237;16899
apps/frontend-taglib/frontend-taglib-clay/__liferay__/exports/@clayui$upper-toolbar.js;1364;3601
apps/frontend-taglib/frontend-taglib-clay/__liferay__/index.js;10176;39834
apps/frontend-taglib/frontend-taglib/__liferay__/index.js;6037;20490
apps/frontend-theme/frontend-theme-classic-style-guide-sample-web/__liferay__/index.js;1803;6252
apps/frontend-theme/frontend-theme-dialect-style-guide-sample-web/__liferay__/index.js;6757;38153
apps/headless/headless-builder/headless-builder-web/__liferay__/index.js;19184;91158
apps/invitation/invitation-invite-members-web/__liferay__/index.js;2658;9541
apps/item-selector/item-selector-taglib/__liferay__/index.js;10478;37017
apps/item-selector/item-selector-upload-web/__liferay__/index.js;370;648
apps/item-selector/item-selector-url-web/__liferay__/index.js;1465;3852
apps/item-selector/item-selector-web/__liferay__/index.js;947;2154
apps/journal/journal-article-dynamic-data-mapping-form-field-type/__liferay__/index.js;1259;3076
apps/journal/journal-content-web/__liferay__/index.js;1315;2813
apps/journal/journal-taglib/__liferay__/index.js;641;1267
apps/journal/journal-web/__liferay__/index.js;21777;92303
apps/knowledge-base/knowledge-base-web/__liferay__/index.js;7687;27892
apps/layout/layout-admin-web/__liferay__/index.js;18744;70026
apps/layout/layout-content-page-editor-web/__liferay__/index.js;144539;605160
apps/layout/layout-dynamic-data-mapping-form-field-type/__liferay__/index.js;1235;3017
apps/layout/layout-js-components-web/__liferay__/index.js;14904;53541
apps/layout/layout-locked-layouts-web/__liferay__/index.js;926;1922
apps/layout/layout-page-template-admin-web/__liferay__/index.js;6168;28947
apps/layout/layout-page-template-item-selector-web/__liferay__/index.js;1493;3896
apps/layout/layout-reports-web/__liferay__/index.js;9769;37622
apps/layout/layout-seo-web/__liferay__/index.js;4902;19157
apps/layout/layout-set-prototype-web/__liferay__/index.js;1733;4576
apps/layout/layout-taglib/__liferay__/index.js;5624;18144
apps/layout/layout-type-controller/layout-type-controller-panel/__liferay__/index.js;1031;2665
apps/layout/layout-utility-page/layout-utility-page-terms-of-use/__liferay__/index.js;502;778
apps/map/map-common/__liferay__/index.js;2786;8470
apps/map/map-google-maps/__liferay__/index.js;2087;6000
apps/map/map-openstreetmap/__liferay__/index.js;2052;5450
apps/marketplace/marketplace-js-components-web/__liferay__/index.js;8291;30017
apps/marketplace/marketplace-settings-web/__liferay__/index.js;2334;6853
apps/marketplace/marketplace-store-web/__liferay__/index.js;54;34
apps/message-boards/message-boards-web/__liferay__/index.js;2759;9323
apps/my-subscriptions/my-subscriptions-web/__liferay__/index.js;561;876
apps/notification/notification-web/__liferay__/index.js;7816;34356
apps/notifications/notifications-web/__liferay__/index.js;655;1115
apps/oauth2-provider/oauth2-provider-web/__liferay__/index.js;2105;7473
apps/object/object-dynamic-data-mapping-form-field-type/__liferay__/index.js;3793;10450
