BUNDLE;GZIP;SIZE
apps/commerce/commerce-channel-web/__liferay__/index.js:/js/CommerceChannelGeneral.js;419;1272
apps/commerce/commerce-channel-web/__liferay__/index.js:/js/CommerceChannelSite.js;420;1108
apps/commerce/commerce-channel-web/__liferay__/index.js:/js/qualifiers.js;271;670
apps/commerce/commerce-checkout-web/__liferay__/index.js:/js/index.js;199;314
apps/commerce/commerce-checkout-web/__liferay__/index.js:/js/props_transformers/DeliveryGroupFDSPropsTransformer.js;295;527
apps/commerce/commerce-client-extension-web/__liferay__/index.js:/js/index.js;145;200
apps/commerce/commerce-frontend-js/__liferay__/index.js:/components/account_selector/account_selector.scss;113;349
apps/commerce/commerce-frontend-js/__liferay__/index.js:/components/account_selector/AccountSelector.js;607;3175
apps/commerce/commerce-frontend-js/__liferay__/index.js:/components/account_selector/entry.js;70;139
apps/commerce/commerce-frontend-js/__liferay__/index.js:/components/account_selector/OrdersTable.js;240;1072
apps/commerce/commerce-frontend-js/__liferay__/index.js:/components/account_selector/Sticker.js;128;342
apps/commerce/commerce-frontend-js/__liferay__/index.js:/components/account_selector/Trigger.js;252;1294
apps/commerce/commerce-frontend-js/__liferay__/index.js:/components/account_selector/util/constants.js;81;162
apps/commerce/commerce-frontend-js/__liferay__/index.js:/components/account_selector/util/index.js;166;512
apps/commerce/commerce-frontend-js/__liferay__/index.js:/components/account_selector/views/AccountCreationModal.js;396;1534
apps/commerce/commerce-frontend-js/__liferay__/index.js:/components/account_selector/views/AccountCreationModalBody.js;602;3431
apps/commerce/commerce-frontend-js/__liferay__/index.js:/components/account_selector/views/AccountSelectionModal.js;581;2602
apps/commerce/commerce-frontend-js/__liferay__/index.js:/components/account_selector/views/AccountsListView.js;456;2086
apps/commerce/commerce-frontend-js/__liferay__/index.js:/components/account_selector/views/EmptyListView.js;93;222
apps/commerce/commerce-frontend-js/__liferay__/index.js:/components/account_selector/views/ListView.js;131;373
apps/commerce/commerce-frontend-js/__liferay__/index.js:/components/account_selector/views/OrdersListView.js;368;1597
apps/commerce/commerce-frontend-js/__liferay__/index.js:/components/add_to_cart/add_to_cart.scss;113;339
apps/commerce/commerce-frontend-js/__liferay__/index.js:/components/add_to_cart/AddToCart.js;780;3997
apps/commerce/commerce-frontend-js/__liferay__/index.js:/components/add_to_cart/AddToCartButton.js;645;2727
apps/commerce/commerce-frontend-js/__liferay__/index.js:/components/add_to_cart/constants.js;93;232
apps/commerce/commerce-frontend-js/__liferay__/index.js:/components/add_to_cart/data.js;543;2250
apps/commerce/commerce-frontend-js/__liferay__/index.js:/components/add_to_cart/entry.js;70;139
apps/commerce/commerce-frontend-js/__liferay__/index.js:/components/add_to_wish_list/add_to_wish_list.scss;115;349
apps/commerce/commerce-frontend-js/__liferay__/index.js:/components/add_to_wish_list/AddToWishList.js;242;801
apps/commerce/commerce-frontend-js/__liferay__/index.js:/components/add_to_wish_list/entry.js;70;139
apps/commerce/commerce-frontend-js/__liferay__/index.js:/components/add_to_wish_list/util/LegacyWishListResource.js;198;589
